,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_type,Vehicle_type,Temperature,Humidity,Weather,Traffic,Distance (km),Target
19,36B8,PUNERES19DEL02,25.0,4.1,18.563934,73.915367,18.643935,73.995367,Snack ,motorcycle ,19.17,65.0,clear sky,Very High,23.53,50.45
20,5795,RANCHIRES06DEL02,31.0,4.7,23.357804,85.325146,23.487804,85.455146,Meal ,electric_scooter ,17.85,67.0,clear sky,Very High,22.26,49.26666667
21,6C6B,COIMBRES13DEL01,37.0,5.0,11.003669,76.976494,11.013669,76.986494,Snack ,motorcycle ,23.93,78.0,mist,Very Low,2.07,13.26666667
22,B816,CHENRES19DEL02,33.0,4.3,12.986047,80.218114,13.116047,80.348114,Meal ,scooter ,26.45,87.0,scattered clouds,Very High,27.52,101.0
23,539B,MUMRES02DEL01,25.0,4.0,19.221315,72.862381,19.261315,72.902381,Buffet ,motorcycle ,24.51,47.0,clear sky,High,8.97,34.61666667
24,A1B2,CHENRES01DEL01,29.0,4.5,13.005801,80.250744,13.115801,80.360744,Meal ,electric_scooter ,26.46,87.0,scattered clouds,Very High,24.31,79.66666667
25,3231,JAPRES16DEL03,27.0,5.0,26.849596,75.800512,26.879596,75.830512,Snack ,motorcycle ,19.44,64.0,haze,Low,6.05,19.65
26,8BC0,SURRES15DEL03,35.0,4.3,21.160522,72.771477,21.250522,72.861477,Drinks ,scooter ,22.92,43.0,clear sky,High,16.08,44.16666667
27,2288,BANGRES09DEL03,32.0,4.0,12.934179,77.615797,13.024179,77.705797,Buffet ,motorcycle ,19.89,93.0,mist,Very High,17.37,57.93333333
28,3C5E,PUNERES04DEL01,23.0,4.8,18.51421,73.838429,18.62421,73.948429,Buffet ,electric_scooter ,19.21,65.0,clear sky,Very High,19.87,54.76666667
29,3.00E+60,COIMBRES02DEL03,31.0,4.8,11.022477,76.995667,11.052477,77.025667,Drinks ,motorcycle ,23.86,78.0,mist,Moderate,6.61,34.21666667
30,BFF,SURRES16DEL02,36.0,4.1,21.160437,72.774209,21.210437,72.824209,Drinks ,motorcycle ,23.26,43.0,clear sky,Moderate,10.6,32.08333333
31,D936,GOARES15DEL02,26.0,4.3,15.51315,73.78346,15.56315,73.83346,Buffet ,motorcycle ,24.66,59.0,scattered clouds,Moderate,12.29,34.78333333
32,D681,GOARES07DEL01,38.0,4.9,15.561295,73.749478,15.601295,73.789478,Drinks ,scooter ,24.8,58.0,scattered clouds,Moderate,9.26,34.91666667
33,2876,RANCHIRES02DEL01,32.0,3.5,16.89756628544272,70.17459636928464,0.11,0.11,Snack ,scooter ,26.27,84.0,overcast clouds,High,13.4,35.98868978396585
34,30C8,PUNERES19DEL02,32.0,4.6,18.563934,73.915367,18.693935,74.045367,Drinks ,scooter ,19.15,64.0,clear sky,High,26.35,54.38333333
35,B843,PUNERES02DEL01,33.0,4.9,18.55144,73.804855,18.62144,73.874855,Snack ,motorcycle ,18.97,65.0,clear sky,High,17.24,47.46666667
36,B3A0,PUNERES18DEL01,20.0,4.7,18.593481,73.785901,18.633481,73.825901,Snack ,scooter ,18.93,64.0,clear sky,Low,8.31,23.13333333
37,6531,SURRES08DEL01,20.0,4.8,21.173343,72.792731,21.183343,72.802731,Meal ,scooter ,23.6,44.0,clear sky,Very Low,2.23,7.516666667
38,4BDA,HYDRES17DEL02,35.0,5.0,17.451976,78.385883,17.471976,78.405883,Snack ,scooter ,21.28,65.0,broken clouds,Low,5.75,22.03333333
39,9D26,BANGRES17DEL02,26.0,4.9,12.972532,77.608179,12.992532,77.628179,Buffet ,scooter ,20.04,91.0,mist,Low,4.17,24.13333333
40,9B18,BANGRES17DEL01,22.0,4.8,12.972532,77.608179,13.042532,77.678179,Snack ,motorcycle ,19.7,93.0,mist,High,12.08,47.28333333
41,5D99,CHENRES11DEL01,35.0,4.3,13.064181,80.236442,13.134181,80.306442,Snack ,motorcycle ,26.4,88.0,scattered clouds,Very High,15.31,73.45
42,4F0,MUMRES17DEL02,29.0,4.6,19.121999,72.908493,19.201999,72.988493,Drinks ,scooter ,24.42,49.0,clear sky,High,19.19,46.25
43,B796,SURRES17DEL03,37.0,4.7,21.149569,72.772697,21.239569,72.862697,Snack ,motorcycle ,22.97,43.0,clear sky,Very High,20.14,51.85
44,85B4,MUMRES07DEL01,28.0,4.6,19.091458,72.827808,19.201458,72.937808,Snack ,scooter ,23.99,49.0,clear sky,Very High,31.21,74.86666667
45,C644,KOLRES16DEL02,37.0,4.9,22.539129,88.365507,22.559129,88.385507,Snack ,scooter ,22.99,83.0,haze,Low,5.32,24.86666667
46,6999,MUMRES02DEL03,23.0,4.9,19.221315,72.862381,19.281315,72.922381,Drinks ,electric_scooter ,24.96,48.0,clear sky,High,13.2,40.61666667
47,63B6,BANGRES05DEL03,27.0,4.9,12.970324,77.645748,13.030324,77.705748,Drinks ,scooter ,19.84,93.0,mist,High,11.37,44.18333333
48,A30B,CHENRES11DEL01,37.0,4.8,13.064181,80.236442,13.104181,80.276442,Drinks ,motorcycle ,26.14,88.0,mist,High,8.68,46.45
49,3556,SURRES09DEL01,33.0,5.0,21.175975,72.795503,21.185975,72.805503,Snack ,scooter ,23.61,44.0,clear sky,Very Low,1.82,9.85
50,5554,RANCHIRES15DEL01,31.0,4.9,23.369746,85.33982,23.409746,85.37982,Snack ,motorcycle ,17.72,68.0,clear sky,Moderate,8.81,32.61666667
51,25FD,BANGRES19DEL01,31.0,4.8,12.914264,77.6784,13.024264,77.7884,Drinks ,scooter ,19.91,93.0,mist,Very High,26.36,80.75
52,C1FF,AURGRES20DEL03,25.0,5.0,16.89756628544272,70.17459636928464,0.03,0.03,Snack ,motorcycle ,26.28,85.0,light rain,High,13.4,33.36666667
53,7AC8,COIMBRES14DEL02,28.0,4.8,11.003681,76.975525,11.083681,77.055525,Drinks ,motorcycle ,23.97,78.0,mist,High,15.83,50.35
54,3DA1,SURRES08DEL03,31.0,4.7,21.173343,72.792731,21.233343,72.852731,Snack ,motorcycle ,23.01,43.0,clear sky,Moderate,11.3,31.71666667
55,272D,COIMBRES07DEL03,24.0,4.7,10.96185,76.971082,11.05185,77.061082,Buffet ,motorcycle ,24.04,78.0,mist,High,19.07,49.71666667
56,DDC5,AGRRES12DEL03,39.0,4.6,27.165108,78.015053,27.255108,78.105053,Snack ,motorcycle ,21.69,52.0,clear sky,Very High,18.94,52.25
57,8E6C,VADRES02DEL02,39.0,4.2,16.89756628544272,70.17459636928464,0.08,0.08,Snack ,scooter ,26.25,85.0,overcast clouds,High,13.4,35.99249448740004
58,B002,JAPRES14DEL01,32.0,4.5,26.88842,75.800689,26.89842,75.810689,Buffet ,scooter ,19.63,64.0,haze,Very Low,1.78,11.86666667
59,395B,VADRES04DEL03,36.0,4.7,16.89756628544272,70.17459636928464,0.06,0.06,Snack ,motorcycle ,26.28,84.0,broken clouds,High,13.4,35.996299593065274
60,8AA2,JAPRES18DEL02,25.0,4.8,26.913987,75.752891,26.993987,75.832891,Drinks ,scooter ,18.74,64.0,haze,Very High,21.14,65.18333333
61,B55A,MYSRES04DEL03,33.0,4.9,12.3085,76.665808,12.3385,76.695808,Drinks ,scooter ,18.17,81.0,broken clouds,Low,6.08,27.55
62,73CC,SURRES12DEL01,30.0,4.4,21.183434,72.814492,21.253434,72.884492,Drinks ,scooter ,22.83,42.0,clear sky,High,14.97,42.3
63,BE80,MUMRES04DEL01,33.0,5.0,19.254567,72.848923,19.364567,72.958923,Buffet ,motorcycle ,22.86,49.0,clear sky,Very High,35.56,85.83333333
64,1609,PUNERES02DEL01,36.0,4.9,18.55144,73.804855,18.59144,73.844855,Drinks ,scooter ,19.2,65.0,clear sky,Moderate,8.72,35.33333333
65,D255,ALHRES07DEL02,21.0,4.8,25.449659,81.839744,25.469659,81.859744,Meal ,electric_scooter ,22.2,54.0,clear sky,Low,4.76,15.51666667
66,DE72,DEHRES19DEL02,39.0,4.9,30.372202,78.077151,30.422202,78.127151,Meal ,motorcycle ,13.45,78.0,clear sky,Very High,14.69,51.23333333
67,98AA,VADRES16DEL02,23.0,4.8,16.89756628544272,70.17459636928464,0.02,0.02,Meal ,scooter ,26.29,85.0,light rain,High,13.4,33.36666667
68,273A,VADRES09DEL01,35.0,4.8,16.89756628544272,70.17459636928464,0.04,0.04,Buffet ,scooter ,26.28,85.0,broken clouds,High,13.4,36.00010510100406
69,A258,CHENRES12DEL03,39.0,4.6,12.972793,80.249982,13.062793,80.339982,Snack ,scooter ,26.52,87.0,scattered clouds,High,13.4,36.00391101125896
70,8B53,SURRES11DEL01,22.0,4.7,21.157735,72.768778,21.197735,72.808778,Buffet ,scooter ,23.45,43.0,clear sky,Low,7.88,19.65
71,BBDE,SURRES01DEL01,32.0,4.6,21.186438,72.794115,21.226438,72.834115,Meal ,scooter ,23.1,43.0,clear sky,Low,7.0,17.36666667
72,5DED,VADRES15DEL02,24.0,4.8,16.89756628544272,70.17459636928464,0.08,0.08,Buffet ,motorcycle ,26.25,85.0,overcast clouds,High,13.4,36.00771732387248
73,1A70,MYSRES14DEL02,29.0,4.7,16.89756628544272,70.17459636928464,0.02,0.02,Buffet ,motorcycle ,26.29,85.0,light rain,High,13.4,33.36666667
74,A9F,BANGRES13DEL01,29.0,4.6,12.935662,77.61413,12.975662,77.65413,Drinks ,scooter ,20.21,91.0,mist,High,11.19,45.48333333
75,4B7F,HYDRES13DEL03,26.0,4.7,17.431477,78.40035,17.491477,78.46035,Buffet ,motorcycle ,21.4,64.0,broken clouds,High,15.46,45.58333333
76,C606,BHPRES12DEL02,20.0,4.5,16.89756628544272,70.17459636928464,0.05,0.05,Drinks ,motorcycle ,26.26,85.0,overcast clouds,High,13.4,36.01152403888715
77,B962,CHENRES11DEL03,35.0,4.1,13.064181,80.236442,13.154181,80.326442,Buffet ,motorcycle ,26.39,87.0,scattered clouds,Very High,23.37,78.68333333
78,633C,BANGRES010DEL03,39.0,4.6,12.933298,77.614293,13.023298,77.704293,Drinks ,scooter ,19.9,93.0,mist,Very High,17.63,69.0
79,2DC6,VADRES20DEL01,34.0,4.7,22.311358,73.164798,22.351358,73.204798,Drinks ,electric_scooter ,19.01,82.0,haze,Low,8.12,25.51666667
80,903A,BANGRES11DEL01,27.0,4.7,12.934365,77.616155,13.044365,77.726155,Snack ,scooter ,19.74,93.0,mist,Very High,21.83,68.68333333
81,C444,DEHRES01DEL01,30.0,4.8,16.89756628544272,70.17459636928464,0.11,0.11,Snack ,motorcycle ,26.27,84.0,overcast clouds,High,13.4,36.01533115634554
82,1FB7,CHENRES02DEL01,25.0,4.4,13.086438,80.220672,13.196438,80.330672,Snack ,scooter ,26.36,87.0,scattered clouds,Very High,26.35,65.76666667
83,34D7,MUMRES04DEL01,25.0,4.7,19.254567,72.848923,19.364567,72.958923,Meal ,motorcycle ,22.86,49.0,clear sky,Very High,35.56,83.0
84,156B,JAPRES03DEL02,30.0,5.0,26.913483,75.803139,26.933483,75.823139,Buffet ,motorcycle ,19.7,64.0,haze,Low,3.98,19.43333333
85,56AD,HYDRES04DEL03,24.0,4.6,17.411028,78.329645,17.471028,78.389645,Buffet ,motorcycle ,21.27,65.0,broken clouds,High,12.62,36.36666667
86,837C,PUNERES14DEL02,39.0,4.8,18.516216,73.842527,18.566216,73.892527,Meal ,motorcycle ,19.23,65.0,clear sky,Moderate,9.82,26.6
87,CBC4,GOARES04DEL01,25.0,4.8,15.5696,73.742294,15.6096,73.782294,Snack ,scooter ,24.51,57.0,broken clouds,Moderate,8.48,31.33333333
88,C19E,AURGRES08DEL02,37.0,4.6,19.876428,75.364792,19.956428,75.444792,Buffet ,motorcycle ,16.17,82.0,mist,High,15.46,40.21666667
89,1D60,BANGRES12DEL01,24.0,5.0,12.939496,77.625999,12.949496,77.635999,Drinks ,motorcycle ,20.3,91.0,mist,Low,2.41,23.15
90,95FB,HYDRES05DEL01,25.0,4.2,17.433809,78.386744,17.543809,78.496744,Meal ,motorcycle ,21.13,64.0,overcast clouds,Very High,24.67,64.9
91,8195,RANCHIRES17DEL01,32.0,4.6,23.374878,85.335739,23.384878,85.345739,Drinks ,motorcycle ,17.67,68.0,clear sky,Low,3.05,24.33333333
92,C042,AGRRES010DEL01,34.0,4.7,-27.163303,78.057044,27.233303,78.127044,Drinks ,scooter ,21.55,52.0,clear sky,High,13.4,36.019138676290176
93,6D19,INDORES12DEL02,38.0,4.9,22.74806,75.8934,22.76806,75.9134,Drinks ,scooter ,17.11,77.0,haze,Low,4.46,23.38333333
94,3.50E+07,JAPRES15DEL03,36.0,4.8,26.891191,75.802083,26.981191,75.892083,Buffet ,electric_scooter ,19.97,68.0,haze,High,17.59,47.91666667
95,B437,SURRES16DEL01,25.0,5.0,21.160437,72.774209,21.270437,72.884209,Meal ,motorcycle ,22.88,43.0,clear sky,Very High,24.59,47.96666667
96,9.70E+04,MYSRES16DEL02,29.0,5.0,12.316967,76.603067,12.366967,76.653067,Drinks ,motorcycle ,18.28,81.0,scattered clouds,High,13.43,48.2
97,A3E0,MUMRES05DEL03,36.0,4.7,18.927584,72.832585,19.017584,72.922585,Drinks ,electric_scooter ,26.84,44.0,smoke,Very High,22.46,62.16666667
98,4161,COIMBRES19DEL02,33.0,4.7,11.022298,76.998349,11.072298,77.048349,Snack ,motorcycle ,25.06,73.0,mist,Moderate,9.16,30.36666667
99,1236,MYSRES07DEL01,36.0,4.4,12.325461,76.632278,12.365461,76.672278,Meal ,scooter ,18.36,81.0,broken clouds,Moderate,8.86,25.98333333
100,2558,PUNERES17DEL01,21.0,4.8,18.530963,73.828972,18.640963,73.938972,Snack ,motorcycle ,19.22,65.0,clear sky,Very High,26.41,66.83333333
101,3185,HYDRES19DEL03,25.0,4.8,17.458998,78.500366,17.488998,78.530366,Snack ,scooter ,21.29,64.0,broken clouds,Low,6.78,24.75
102,3C57,MUMRES14DEL02,23.0,4.8,19.1813,72.836191,19.3113,72.966191,Meal ,motorcycle ,27.05,49.0,clear sky,Very High,42.54,93.41666667
103,4863,COIMBRES02DEL01,25.0,4.6,11.022477,76.995667,11.032477,77.005667,Snack ,motorcycle ,24.86,73.0,mist,Low,2.57,18.75
104,6757,INDORES05DEL02,24.0,4.3,22.727021,75.884167,22.747021,75.904167,Meal ,motorcycle ,17.08,77.0,haze,Low,4.04,16.25
105,22AD,BANGRES03DEL03,27.0,4.6,12.979166,77.640709,13.069166,77.730709,Buffet ,motorcycle ,19.22,93.0,fog,High,18.4,46.81666667
106,9F99,MUMRES11DEL01,23.0,4.8,18.994237,72.825553,19.104237,72.935553,Snack ,scooter ,27.03,44.0,smoke,High,19.59,52.81666667
107,6781,MYSRES12DEL02,21.0,4.3,12.284747,76.625861,12.414747,76.755861,Drinks ,scooter ,18.4,82.0,broken clouds,Very High,29.59,60.56666667
108,1B8D,SURRES09DEL02,27.0,4.7,21.175975,72.795503,21.195975,72.815503,Snack ,scooter ,23.39,43.0,clear sky,Very Low,4.15,14.43333333
109,1AEA,COIMBRES12DEL02,32.0,4.2,11.000762,76.981876,11.130762,77.111876,Snack ,motorcycle ,25.15,73.0,mist,Very High,26.96,58.5
110,1.00E+42,SURRES08DEL01,25.0,4.6,21.173343,72.792731,21.283343,72.902731,Drinks ,motorcycle ,22.85,43.0,clear sky,High,21.81,52.31666667
111,DDC8,KNPRES05DEL02,39.0,4.7,26.479108,80.315042,26.499108,80.335042,Meal ,scooter ,21.81,55.0,clear sky,High,9.52,33.3
112,24AC,SURRES05DEL02,27.0,4.6,21.175104,72.804342,21.255104,72.884342,Snack ,motorcycle ,22.88,43.0,clear sky,High,16.35,40.8
113,3F01,MUMRES15DEL01,39.0,3.8,19.176269,72.836721,19.286269,72.946721,Drinks ,motorcycle ,27.04,48.0,clear sky,Very High,25.68,70.41666667
114,628C,BANGRES15DEL02,31.0,4.8,12.975377,77.696664,13.025377,77.746664,Snack ,scooter ,19.58,93.0,mist,High,16.6,45.73333333
115,6C38,RANCHIRES11DEL03,31.0,4.8,23.359194,85.325447,23.419194,85.385447,Buffet ,electric_scooter ,17.84,68.0,clear sky,High,11.34,41.43333333
116,4BEB,MYSRES08DEL01,20.0,4.8,12.297954,76.665169,12.307954,76.675169,Drinks ,motorcycle ,18.05,81.0,broken clouds,Very Low,3.09,17.66666667
117,8339,RANCHIRES07DEL02,36.0,4.9,23.359407,85.325055,23.439407,85.405055,Drinks ,motorcycle ,17.58,69.0,clear sky,High,15.03,46.01666667
118,3EC5,RANCHIRES01DEL03,20.0,4.9,23.416792,85.316842,23.506792,85.406842,Meal ,motorcycle ,17.41,69.0,clear sky,High,18.92,35.45
119,ADB4,JAPRES17DEL03,24.0,4.6,26.892312,75.806896,26.922313,75.836896,Drinks ,motorcycle ,19.58,68.0,haze,Moderate,6.14,35.7
120,6.00E+02,VADRES06DEL01,29.0,4.6,22.31279,73.170283,22.42279,73.280283,Snack ,electric_scooter ,22.47,44.0,clear sky,High,20.29,44.28333333
121,2BC0,INDORES14DEL01,39.0,4.2,22.761593,75.886362,22.871593,75.996362,Snack ,scooter ,17.32,53.0,clear sky,High,24.35,49.11666667
122,9.90E+08,COIMBRES17DEL01,37.0,4.8,11.026117,76.944652,11.066117,76.984652,Meal ,scooter ,24.83,73.0,mist,Moderate,8.81,31.21666667
123,39EF,CHENRES11DEL01,32.0,4.9,13.064181,80.236442,13.104181,80.276442,Drinks ,motorcycle ,26.14,88.0,mist,High,8.68,46.63333333
124,E264,KNPRES17DEL02,22.0,4.5,26.483042,80.317833,26.533042,80.367833,Drinks ,scooter ,21.8,55.0,clear sky,Moderate,12.15,38.98333333
125,BD03,COIMBRES12DEL02,23.0,4.9,11.000762,76.981876,11.130762,77.111876,Meal ,scooter ,25.15,73.0,mist,Very High,26.96,54.5
126,9A29,RANCHIRES04DEL01,33.0,4.7,23.359033,85.325347,23.469033,85.435347,Snack ,scooter ,17.88,67.0,clear sky,High,19.03,45.31666667
127,D0E5,KOLRES17DEL03,23.0,4.6,22.569358,88.433452,22.599358,88.463452,Drinks ,motorcycle ,23.03,83.0,haze,Moderate,8.33,32.65
128,A480,BANGRES19DEL02,27.0,4.6,12.914264,77.6784,12.994264,77.7584,Drinks ,motorcycle ,19.74,93.0,mist,Very High,19.35,64.63333333
129,B46C,MUMRES17DEL01,34.0,4.7,19.121999,72.908493,19.161999,72.948493,Snack ,scooter ,27.01,44.0,smoke,Moderate,11.14,39.16666667
130,7150,SURRES14DEL01,26.0,5.0,21.157729,72.768726,21.167729,72.778726,Meal ,scooter ,23.91,44.0,clear sky,Very Low,2.41,6.983333333
131,1.00E+58,VADRES14DEL03,31.0,4.6,22.311603,73.165012,22.371603,73.225012,Snack ,motorcycle ,22.74,43.0,clear sky,Moderate,11.07,25.55
132,4460,PUNERES09DEL02,32.0,4.9,18.536562,73.896485,18.556562,73.916485,Snack ,motorcycle ,19.26,64.0,clear sky,Low,5.3,23.51666667
133,977D,INDORES19DEL02,27.0,4.7,22.745536,75.893106,22.765536,75.913106,Buffet ,motorcycle ,17.11,77.0,haze,Low,4.38,19.43333333
134,1602,BANGRES010DEL03,21.0,4.9,12.933298,77.614293,13.023298,77.704293,Drinks ,motorcycle ,19.9,93.0,mist,Very High,17.63,68.98333333
135,894E,BANGRES12DEL02,28.0,4.8,12.939496,77.625999,12.989496,77.675999,Drinks ,motorcycle ,19.64,92.0,mist,Very High,11.56,61.65
136,5A01,VADRES04DEL01,24.0,4.9,16.89756628544272,70.17459636928464,0.04,0.04,Meal ,scooter ,26.28,85.0,broken clouds,High,13.4,36.02294659876362
137,655,HYDRES14DEL01,33.0,4.4,17.426228,78.407495,17.436228,78.417495,Snack ,motorcycle ,21.27,65.0,broken clouds,Very Low,3.09,15.28333333
138,20F6,BANGRES11DEL03,20.0,4.6,12.934365,77.616155,13.024365,77.706155,Buffet ,motorcycle ,19.89,93.0,mist,Very High,17.29,60.43333333
139,3DB1,COIMBRES13DEL03,31.0,4.3,11.003669,76.976494,11.063669,77.036494,Snack ,motorcycle ,24.96,73.0,mist,Moderate,11.45,33.38333333
140,1EC7,PUNERES05DEL03,29.0,4.6,18.543626,73.905101,18.573626,73.935101,Snack ,scooter ,19.23,65.0,clear sky,Low,6.28,22.28333333
141,8ED2,VADRES20DEL01,36.0,5.0,22.311358,73.164798,22.381358,73.234798,Snack ,motorcycle ,22.68,43.0,clear sky,Moderate,12.93,30.25
142,64CC,CHENRES19DEL01,31.0,4.2,12.986047,80.218114,13.096047,80.328114,Meal ,motorcycle ,26.47,87.0,broken clouds,Very High,25.39,97.83333333
143,2ED0,HYDRES02DEL03,39.0,4.1,17.41233,78.449654,17.47233,78.509654,Meal ,scooter ,21.32,64.0,broken clouds,Moderate,11.67,30.7
144,4008,SURRES010DEL02,29.0,4.6,21.17106,72.789292,21.25106,72.869292,Meal ,electric_scooter ,22.9,43.0,clear sky,High,14.52,33.15
145,7553,SURRES03DEL01,29.0,4.6,21.186884,72.793616,21.226884,72.833616,Snack ,scooter ,23.1,43.0,clear sky,Low,6.71,20.13333333
146,35D8,COIMBRES17DEL03,37.0,4.9,11.026117,76.944652,11.056117,76.974652,Buffet ,motorcycle ,24.82,73.0,mist,Moderate,6.76,28.55
147,9832,VADRES08DEL01,33.0,4.7,16.89756628544272,70.17459636928464,0.04,0.04,Snack ,motorcycle ,26.28,85.0,broken clouds,High,13.4,36.02675492380842
148,4C88,MUMRES08DEL01,31.0,3.9,19.065838,72.832658,19.135838,72.902658,Buffet ,scooter ,26.77,44.0,smoke,Very High,17.15,54.18333333
149,9693,VADRES18DEL01,37.0,4.6,16.89756628544272,70.17459636928464,0.04,0.04,Drinks ,motorcycle ,26.28,85.0,broken clouds,High,13.4,36.03056365146714
150,81A5,BANGRES04DEL03,26.0,4.4,12.98041,77.640489,13.04041,77.700489,Buffet ,motorcycle ,19.5,93.0,mist,High,13.6,43.21666667
151,AE56,COIMBRES02DEL01,24.0,4.6,11.022477,76.995667,11.132477,77.105667,Snack ,motorcycle ,25.15,73.0,mist,High,21.28,50.13333333
152,8D18,RANCHIRES12DEL02,23.0,4.8,16.89756628544272,70.17459636928464,0.02,0.02,Buffet ,scooter ,26.29,85.0,light rain,High,13.4,33.36666667
153,9CBA,VADRES18DEL01,36.0,4.9,16.89756628544272,70.17459636928464,0.01,0.01,Buffet ,scooter ,26.29,85.0,light rain,High,13.4,33.36666667
154,9B79,MYSRES13DEL01,39.0,4.8,12.310972,76.659264,12.350972,76.699264,Snack ,motorcycle ,17.9,77.0,scattered clouds,Moderate,8.67,29.88333333
155,596A,COIMBRES03DEL02,20.0,4.7,11.025083,77.015393,11.105083,77.095393,Drinks ,motorcycle ,25.02,73.0,mist,High,15.95,45.43333333
156,78AA,MYSRES16DEL02,20.0,5.0,12.316967,76.603067,12.446967,76.733067,Meal ,motorcycle ,18.12,77.0,scattered clouds,High,26.21,39.33333333
157,D7EC,KOLRES04DEL03,29.0,4.3,22.538731,88.364878,22.598731,88.424878,Buffet ,motorcycle ,22.99,83.0,haze,Moderate,12.74,30.98333333
158,55B1,COIMBRES11DEL01,36.0,4.8,11.001753,76.986241,11.111753,77.096241,Drinks ,motorcycle ,25.02,73.0,mist,Very High,24.44,63.98333333
159,8.70E+05,VADRES13DEL03,36.0,4.0,22.310237,73.158921,22.400237,73.248921,Meal ,motorcycle ,22.48,43.0,clear sky,High,18.92,31.73333333
160,82C3,RANCHIRES04DEL02,22.0,4.8,23.359033,85.325347,23.439033,85.405347,Drinks ,scooter ,17.58,69.0,clear sky,High,14.99,45.43333333
161,5397,PUNERES18DEL01,38.0,4.4,18.593481,73.785901,18.663481,73.855901,Buffet ,motorcycle ,19.01,65.0,clear sky,High,15.81,37.75
162,876B,SURRES01DEL02,39.0,4.9,21.186438,72.794115,21.236438,72.844115,Buffet ,motorcycle ,22.99,43.0,clear sky,Low,8.39,22.18333333
163,3A5A,INDORES08DEL02,24.0,4.9,22.725748,75.898497,22.775748,75.948497,Snack ,scooter ,17.08,72.0,haze,High,13.69,36.3
164,5.10E+05,VADRES18DEL01,30.0,4.1,16.89756628544272,70.17459636928464,0.07,0.07,Snack ,motorcycle ,26.28,84.0,broken clouds,High,13.4,36.03437278178234
165,5631,HYDRES18DEL03,35.0,4.8,17.450851,78.379347,17.540851,78.469347,Meal ,motorcycle ,21.25,66.0,broken clouds,Very High,25.62,53.95
